"Date of Download: 2024-05-20_14:03:26"
"Search Parameters: Data Level:all  Trait List:  Trial List:11755,12509,11756,12466,11757,12510  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","cassava bacterial blight severity 3-month evaluation|CO_334:0000175","dry matter content by specific gravity method|CO_334:0000160","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","marketable root number counting|CO_334:0000169","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant stands harvested counting|CO_334:0000010","root color visual rating 1-3|CO_334:0000221","root evaluation scaled 1-5|CO_334:0000228","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11755","202336DMEPR_repe","202336DMEPR_repe","RCBD","2","4","","no","no","2023-June-30","2024-April-11","56","Repelon. Atlantico, Colombia","139257","CG1141-1","","plot","6762241","202336DMEPR_repe_rep1_CG1141-1_71","1","1","71","4","2","check","","1","28.6049375709421","240","4.16666666666667","2","4","2","","10","2","240","6","3","5","1900","138","10","8","1","1"," (Operator: lizbethpino, Time: ), Pudrición Total (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11755","202336DMEPR_repe","202336DMEPR_repe","RCBD","2","4","","no","no","2023-June-30","2024-April-11","56","Repelon. Atlantico, Colombia","139268","CM4919-1","","plot","6762235","202336DMEPR_repe_rep1_CM4919-1_127","1","1","127","8","18","check","","1","31.5568451075033","175","30.8333333333333","14.8","5","1","","10","1","270","5","3","1","5000","442","0","8","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11755","202336DMEPR_repe","202336DMEPR_repe","RCBD","2","4","","no","no","2023-June-30","2024-April-11","56","Repelon. Atlantico, Colombia","139268","CM4919-1","","plot","6762563","202336DMEPR_repe_rep1_CM4919-1_158","1","1","158","9","14","check","","1","29.9409660107334","165","37.9166666666667","18.2","5","1","","10","1","300","5","3","1","4860","388","0","10","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11755","202336DMEPR_repe","202336DMEPR_repe","RCBD","2","4","","no","no","2023-June-30","2024-April-11","56","Repelon. Atlantico, Colombia","139268","CM4919-1","","plot","6762665","202336DMEPR_repe_rep1_CM4919-1_210","1","1","210","12","7","check","","1","29.0049070471249","120","39.375","18.9","5","1","","10","1","220","6","3","1","5000","374","0","9","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11755","202336DMEPR_repe","202336DMEPR_repe","RCBD","2","4","","no","no","2023-June-30","2024-April-11","56","Repelon. Atlantico, Colombia","4997496","GM1011A-13","","plot","6762395","202336DMEPR_repe_rep1_GM1011A-13_219","1","1","219","13","3","test","","1","26.0227311735679","230","18.75","9","5","1","","10","2","230","3","1","2","4950","289","0","7","1","5"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11755","202336DMEPR_repe","202336DMEPR_repe","RCBD","2","4","","no","no","2023-June-30","2024-April-11","56","Repelon. Atlantico, Colombia","4997498","GM1011A-15","","plot","6762270","202336DMEPR_repe_rep1_GM1011A-15_17","1","1","17","1","17","test","","1","27.5598307816277","170","3.125","1.5","4","1","","10","2","240","2","1","4","1330","89","0","2","1","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11755","202336DMEPR_repe","202336DMEPR_repe","RCBD","2","4","","no","no","2023-June-30","2024-April-11","56","Repelon. Atlantico, Colombia","6154654","GM1011A-22","","plot","6762288","202336DMEPR_repe_rep1_GM1011A-22_110","1","1","110","7","2","test","","1","31.0063149261892","90","3.95833333333333","1.9","4","2","","10","4","200","2","1","3","2000","171","0","3","1","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11755","202336DMEPR_repe","202336DMEPR_repe","RCBD","2","4","","no","no","2023-June-30","2024-April-11","56","Repelon. Atlantico, Colombia","6154655","GM1011A-23","","plot","6762542","202336DMEPR_repe_rep1_GM1011A-23_140","1","1","140","8","5","test","","1","31.046875","110","1.04166666666667","0.5","3","3","","10","4","200","1","1","4","420","36","0","2","1","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11755","202336DMEPR_repe","202336DMEPR_repe","RCBD","2","4","","no","no","2023-June-30","2024-April-11","56","Repelon. Atlantico, Colombia","6154660","GM1011A-28","","plot","6762583","202336DMEPR_repe_rep1_GM1011A-28_202","1","1","202","12","15","test","","1","23.3209508881922","70","15.4166666666667","7.4","5","1","","10","4","270","4","1","3","5000","215","0","5","2","3"," (Operator: lizbethpino, Time: )"
"2023","174","CIAT","CIAT cassava breeding, Cali, Colombia","11755","202336DMEPR_repe","202336DMEPR_repe","RCBD","2","4","","no","no","2023-June-30","2024-April-11","56","Repelon. Atlantico, Colombia","6154663","GM1011B-10","","plot","6762517","202336DMEPR_repe_rep1_GM1011B-10_230","1","1","230","13","14","test","","1","27.7000448162534","80","10.4166666666667","5","4","2","","10","4","270","3","1","3","3590","243","2","6","1","5"," (Operator: lizbethpino, Time: )"
