"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","CBB_3mon","DM_gravity","height_1st_branch","yield_ha","root_weight_plot","vigor1_5","lodging1_3","root_number_commercial","planted_number_plot","plant_type","height","harvest_number","root_skin_color1_3","root_type1_5","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","thrips1_5","carotenoid1_8","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha"
2023,"202336DMEPR_repe","202336DMEPR_repe",2,4,"2023-June-30","2024-April-11","Repelon. Atlantico, Colombia",NA,"202336DMEPR_repe_rep1_CG1141-1_71",1,71,4,2,"check"," (Operator: lizbethpino, Time: ), Pudrición Total (Operator: lizbethpino, Time: )","CG1141-1_is_Costena","check_released",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",1,28.6049375709421,240,4.16666666666667,2,4,2,NA,10,2,240,6,3,5,1900,138,10,8,1,1,6,80,4.16666666666667,1.19187239878925
2023,"202336DMEPR_repe","202336DMEPR_repe",2,4,"2023-June-30","2024-April-11","Repelon. Atlantico, Colombia",NA,"202336DMEPR_repe_rep1_CM4919-1_127",1,127,8,18,"check"," (Operator: lizbethpino, Time: )","CM4919-1_is_Veronica","check_released",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",1,31.5568451075033,175,30.8333333333333,14.8,5,1,NA,10,1,270,5,3,1,5000,442,0,8,1,5,6,80,30.8333333333333,9.73002724148017
2023,"202336DMEPR_repe","202336DMEPR_repe",2,4,"2023-June-30","2024-April-11","Repelon. Atlantico, Colombia",NA,"202336DMEPR_repe_rep1_CM4919-1_158",1,158,9,14,"check"," (Operator: lizbethpino, Time: )","CM4919-1_is_Veronica","check_released",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",1,29.9409660107334,165,37.9166666666667,18.2,5,1,NA,10,1,300,5,3,1,4860,388,0,10,1,5,6,100,37.9166666666667,11.3526162790698
2023,"202336DMEPR_repe","202336DMEPR_repe",2,4,"2023-June-30","2024-April-11","Repelon. Atlantico, Colombia",NA,"202336DMEPR_repe_rep1_CM4919-1_210",1,210,12,7,"check"," (Operator: lizbethpino, Time: )","CM4919-1_is_Veronica","check_released",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",1,29.0049070471249,120,39.375,18.9,5,1,NA,10,1,220,6,3,1,5000,374,0,9,1,5,6,90,39.375,11.4206821498054
2023,"202336DMEPR_repe","202336DMEPR_repe",2,4,"2023-June-30","2024-April-11","Repelon. Atlantico, Colombia",NA,"202336DMEPR_repe_rep1_GM1011A-13_219",1,219,13,3,"test"," (Operator: lizbethpino, Time: )","GM1011A-13","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",1,26.0227311735679,230,18.75,9,5,1,NA,10,2,230,3,1,2,4950,289,0,7,1,5,6,70,18.75,4.87926209504398
2023,"202336DMEPR_repe","202336DMEPR_repe",2,4,"2023-June-30","2024-April-11","Repelon. Atlantico, Colombia",NA,"202336DMEPR_repe_rep1_GM1011A-15_17",1,17,1,17,"test"," (Operator: lizbethpino, Time: )","GM1011A-15","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",1,27.5598307816277,170,3.125,1.5,4,1,NA,10,2,240,2,1,4,1330,89,0,2,1,3,6,20,3.125,0.861244711925865
2023,"202336DMEPR_repe","202336DMEPR_repe",2,4,"2023-June-30","2024-April-11","Repelon. Atlantico, Colombia",NA,"202336DMEPR_repe_rep1_GM1011A-22_110",1,110,7,2,"test"," (Operator: lizbethpino, Time: )","GM1011A-22","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",1,31.0063149261892,90,3.95833333333333,1.9,4,2,NA,10,4,200,2,1,3,2000,171,0,3,1,3,6,30,3.95833333333333,1.22733329916165
2023,"202336DMEPR_repe","202336DMEPR_repe",2,4,"2023-June-30","2024-April-11","Repelon. Atlantico, Colombia",NA,"202336DMEPR_repe_rep1_GM1011A-23_140",1,140,8,5,"test"," (Operator: lizbethpino, Time: )","GM1011A-23","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",1,31.046875,110,1.04166666666667,0.5,3,3,NA,10,4,200,1,1,4,420,36,0,2,1,3,6,20,1.04166666666667,0.323404947916668
2023,"202336DMEPR_repe","202336DMEPR_repe",2,4,"2023-June-30","2024-April-11","Repelon. Atlantico, Colombia",NA,"202336DMEPR_repe_rep1_GM1011A-28_202",1,202,12,15,"test"," (Operator: lizbethpino, Time: )","GM1011A-28","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",1,23.3209508881922,70,15.4166666666667,7.4,5,1,NA,10,4,270,4,1,3,5000,215,0,5,2,3,6,50,15.4166666666667,3.59531326192964
2023,"202336DMEPR_repe","202336DMEPR_repe",2,4,"2023-June-30","2024-April-11","Repelon. Atlantico, Colombia",NA,"202336DMEPR_repe_rep1_GM1011B-10_230",1,230,13,14,"test"," (Operator: lizbethpino, Time: )","GM1011B-10","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",1,27.7000448162534,80,10.4166666666667,5,4,2,NA,10,4,270,3,1,3,3590,243,2,6,1,5,6,60,10.4166666666667,2.8854213350264
2023,"202336DMEPR_repe","202336DMEPR_repe",2,4,"2023-June-30","2024-April-11","Repelon. Atlantico, Colombia",NA,"202336DMEPR_repe_rep1_GM1011B-6_216",1,216,12,1,"test"," (Operator: lizbethpino, Time: )","GM1011B-6","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",1,29.6403211009174,140,17.7083333333333,8.5,4,1,NA,10,4,250,6,1,2,4730,370,0,10,1,3,6,100,17.7083333333333,5.24880686162078
2023,"202336DMEPR_repe","202336DMEPR_repe",2,4,"2023-June-30","2024-April-11","Repelon. Atlantico, Colombia",NA,"202336DMEPR_repe_rep1_GM13549B-4_108",1,108,6,1,"test"," (Operator: lizbethpino, Time: )","GM13549B-4","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",1,27.8936241610738,130,3.125,1.5,4,2,NA,10,4,170,2,3,3,1440,99,0,3,1,3,6,30,3.125,0.871675755033556
2023,"202336DMEPR_repe","202336DMEPR_repe",2,4,"2023-June-30","2024-April-11","Repelon. Atlantico, Colombia",NA,"202336DMEPR_repe_rep1_GM13549B-5_186",1,186,11,6,"test"," (Operator: lizbethpino, Time: )","GM13549B-5","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",1,27.5787343215507,140,11.25,5.4,4,2,NA,10,3,240,2,3,2,4700,315,0,4,1,3,6,40,11.25,3.10260761117445
2023,"202336DMEPR_repe","202336DMEPR_repe",2,4,"2023-June-30","2024-April-11","Repelon. Atlantico, Colombia",NA,"202336DMEPR_repe_rep1_GM13549B-6_24",1,24,2,13,"test"," (Operator: lizbethpino, Time: )","GM13549B-6","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",1,23.2792507204611,90,5,2.4,4,2,NA,10,4,240,2,3,3,2900,124,0,3,1,3,6,30,5,1.16396253602305
